# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
אקלירה ג'נואייר	EKLIRA GENUAIR	ACLIDINIUM	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב COPD
אקלסטה	ACLASTA	ZOLEDRONIC ACID	מותר להתרים	טיפול באוסטאופורוזיס
אקמול	ACAMOL	PARACETAMOL	מותר להתרים	נגד כאבים
אקמול	ACAMOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
אקמול פוקוס	ACAMOL FOCUS	PARACETAMOL, CAFFEINE, ACETYL SALICILIC ACID	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום וצינון
אקמול פוקוס	ACAMOL FOCUS	PARACETAMOL, CAFFEINE, ACETYL SALICILIC ACID	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אקסדרין	EXCEDRIN	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום
אקסדרין	EXCEDRIN	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אקסידול	EXIDOL	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום
אקסידול	EXIDOL	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אקספורג'	EXFORGE	AMLODIPINE, VALSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
אקרוז	ACROSE	ACARBOSE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
ארדוטין	ERDOTIN	ERDOSTEINE	מותר להתרים לאחר סיום הטיפול והחלמה	נגד שעול עם ליחה
ארטופן	ARTOFEN	IBUPROFEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
ארטופן	ARTOFEN	IBUPROFEN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
ארטריל	ARTHRYL	GLUCOSAMINE	מותר להתרים	טיפול באוסטאוארטריטיס
אריוס	AERIUS	DESLORATADINE	מותר להתרים	טיפול באלרגיה
אריפיפרזול	ARIPIPRAZOLE	ARIPIPRAZOLE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בסכיזופרניה ובעיות נפשיות שונות
אריפלי	ARIPLY	ARIPIPRAZOLE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
אריתרו טבע	ERYTHRO TEVA	ERYTHROMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
ארקו-טבע	ARCO-TEVA	ETORICOXIB	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	טיפול נגד כאבים, בעיקר בעצמות ופרקים
ארקו-טבע	ARCO-TEVA	ETORICOXIB	אסור להתרים	טיפול בדלקת פרקים פעילה
ארקוקסיה	ARCOXIA	ETORICOXIB	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	טיפול נגד כאבים, בעיקר בעצמות ופרקים
ארקוקסיה	ARCOXIA	ETORICOXIB	אסור להתרים	טיפול בדלקת פרקים פעילה
בדודקה	BEDODEKA	B 12	מותר להתרים בהתאם להנחיות רפואיות (ראה חוסר B12)	זריקות טיפול בחוסר B12
בודיקורט - משאף	BUDICORT	BUDESONIDE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
בודסון	BUDESON	BUDESONIDE	אסור להתרים	טיםול בקוליטיס,מחלת קרוהן ודלקת  כבד אוטואימונית
בודסוניד משאף	BUDESONIDE	BUDESONIDE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
בוטרנס	BUTRANS	BUPRENORPHINE	בהתאם לסיבת הטיפול ובמצבו של התורם	נגד כאב, טיפול חלופי לתלות באופיאטים
בונדורמין	BONDORMIN	BROTIZOLAM	מותר להתרים	טיפול בהפרעות שינה
בונסרין	BONSERIN	MIANSERIN	מותר להתרים	טיפול בדיכאון
בוסנטן	BOSENTAN	BOSENTAN	אסור להתרים	טיפול בטרשת מערכתית, יתר לחצ דם ריאתי
בזפיברט	BEZAFIBRATE	BEZAFIBRATE	מותר להתרים	טיפול בעודף כולסטרול בדם
בטאהיסטין	BETAHISTINE	BETAHISTINE	מותר להתרים אם אין סחרחורת ביום התרומה	טיפול במחלת מנייר
בטאהיסטין	BETAHISTINE	BETAHISTINE	מותר להתרים לאחר החלמה	טיפול בורטיגו
בטיסטין	BETISTINE	BETAHISTINE	מותר להתרים אם אין סחרחורת ביום התרומה	טיפול במחלת מנייר
בטיסטין	BETISTINE	BETAHISTINE	מותר להתרים לאחר החלמה	טיפול בורטיגו
בטמיגה	BETMIGA	MIRABEGRON	מותר להתרים	טיפול בדחיפות במתן שתן
בטנזול	BETNESOL	BETAMETHASONE	אסור להתרים במהלך הטיפול,לתרומות עתידיות לפנות לסמכות רפואית	טיפול במחלות אוטואימוניות, התקפי אסטמה/ אלרגיה
בטרן	BETAREN	DICLOFENAC	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
בטרן	BETAREN	DICLOFENAC	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
בי-און	B-ON	VARDENAFIL	מותר להתרים	טיפול בהפרעה בזיקפה
ביאוביו	BEOVU	BROLUCIZUMAB	מותר לתרום שבוע לאחר הזריקה	טיפול בניוון מקולרי גילי
ביודרוקסיל	BIODROXIL	CEFADROXIL	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
ביטני X	BITNI X	BISMUTH SALICILATE	מותר להתרים אם אין עדות לגסטרואנטריטיס חריפה	טיפול בשלשול חד פעמי, בחילה, אי נוחות במע' העיכול
ביידוריון	BYDUREON	EXENATIDE	מותר להתרים אם סכרת מאוזנת ועברו 24 שעות לאחר הזרקה	טיפול בסכרת
בילקסטן	BILAXTEN	BILASTINE	מותר להתרים	טיפול באלרגיה
בינוסטו	BINOSTO	ALENDRONIC ACID	מותר להתרים	טיפול באוסטאופורוזיס
ביסופרולול	BISOPROLOL	BISOPROLOL	מותר להתרים אם לחץ הדם מאוזן ודופק מעל 70 לדקה	טיפול ביתר לחץ דם
ביסופרולול	BISOPROLOL	BISOPROLOL	אסור להתרים	טיפול בבעיות לב
ביקאלוטמיד	BICALUTAMIDE	BICALUTAMIDE	אסור להתרים	טיפול בסרטן פרוסטטה
בלארה	BELARA	CHLORMADINONE, ETHYNILESTRADIOL	מותר להתרים	גלולות נגד כניסה להריון
בנליסטה	BENLYSTA	BELIMUMAB	אסור להתרים	טיפול בזאבת (לופוס)
בסגלר	BASAGLAR	INSULIN	אסור להתרים	טיפול בסכרת
בקוניס	BEKUNIS	SENNA	מותר להתרים	נגד עצירות
בקלוסל	BACLOSAL	BACLOFEN	יש לפנות לסמכות רפואית	טיפול בעוויתות והתכווצויות שרירים
ברוטיזולאם	BROTIZOLAM	BROTIZOLAM	מותר להתרים	טיפול בהפרעות שינה
ברונכולט	BRONCHOLATE SYRUP	PSEUDOEPHEDRINE, DIPHENHYDRAMINE	מותר להתרים לאחר סיום הטיפול והחלמה	נגד  שיעול
ברונכיקליר	BRONCHICLEAR	HERB. EXTRACTS	מותר להתרים לאחר סיום הטיפול והחלמה	נגד שיעול וליחה
בריביאקט	BRIVIACT	BRIVARACETAM	אסור להתרים	טיפול באפילפסיה
ברילינטה	BRILINTA	TICAGRELOR	לפנות לסמכות רפואית .לא לטרומבוציטים	לדילול דם
ברינטליקס	BRINTELLIX	VORTIOXETINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
בריקלין	BRICALIN	TERBUTALINE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה/ ברונכיטיס)	טיפול באסטמה/ ברונכיטיס כרונית
בריקלין	BRICALIN	TERBUTALINE	אסור להתרים	טיפול באמפיזמה
ברנזיס	BRENZYS	ETANERCEPT	אסור להתרים	טיפול אימונוסופרסיבי
ברקסין	BREXIN	PIROXICAM	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
ברקסין	BREXIN	PIROXICAM	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת פרקים
ג'ארדיאנס	JARDIANCE	EMPAGLIFZOLIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
ג'נואט	JANUET	METFORMIN, SITAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
ג'נוביה	JANUVIA	SITAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
ג'קאבי	JAKAVI	RUXOLITINIB	אסור להתרים	טיפול במחלות המטולוגיות
גאבאפנטין	GABAPENTIN	GABAPENTIN	אסור להתרים	טיפול באפילפסיה
גאבאפנטין	GABAPENTIN	GABAPENTIN	לפנות לבירור לסמכות רפואית	טיפול בכאב נוירופטי
גאודון	GEODON	ZIPRASIDONE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
גאלבוס	GALVUS	VIDAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
גאסטרו	GASTRO	FAMOTIDINE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה או תריסריון, רפלוקס
גביסקון	GAVISCON	ALGINIC ACUD	מותר להתרים	טיפול ברפלוקס קיבה-ושת וצרבת
גודמד	GODAMED	ACETYL SALICYLIC ACID	בהתאם למחלה/מצב רפואי, לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	לדילול דם
גילניה	GILENYA	FINGOLIMOD	אסור להתרים	טיפול בטרשת נפוצה
גילקס	GILEX	DOXEPINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון ומצבי חרדה
גינרה	GYNERA	GESTODENE, ETHINYLESTRADIOL	מותר להתרים	גלולות למניעת הריון
גלובן	GLUBEN	GLIBENCLAMIDE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
גלוקו-רייט	GLUCO-RITE	GLIPIZIDE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
גלוקומין	GLUCOMIN	METFORMIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
גלימפירייד	GLIMEPIRIDE	GLIMEPIRIDE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
גליקסמבי	GLYXAMBI	EMPAGLIFLOZIN, LINAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
גרמזה פירין	GRAMSE PIRIN	ACETYL SALICYLIC ACID	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום
גרמזה פירין	GRAMSE PIRIN	ACETYL SALICYLIC ACID	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
דאלאצין	DALACIN	CLINDAMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
דואודופה	DUODOPA	CARBIDOPA, LEVODOPA	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
דואודרט	DUODART	DUTASTERIDE, TAMSULOSIN	מותר להתרים 6 חודשים לאחר סיום הטיפול	טיפול בהגדלת הפרוסטטה שפירה
דואקליר ג'נואייר	DUAKLIR GENUAIR	ACLIDINIUM, FORMOTEROL	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב COPD
דוטאסטמד	DUTASTAMED	DUTASTERIDE	מותר להתרים 6 חודשים לאחר סיום הטיפול	טיפול בהגדלת הפרוסטטה שפירה
דוטסטריד	DUTASTERIDE	DUTASTERIDE	מותר להתרים 6 חודשים לאחר סיום הטיפול	טיפול בהגדלת הפרוסטטה שפירה
דולוקס	DULOX	DULOXETINE	מותר להתרים בהתאם למצבו התורם	טיפול בבעיות נפשיות, כאבי שרירים מסיבות שונות
דולוקסטין	DULOXETINE	DULOXETINE	מותר להתרים בהתאם למצבו התורם	טיפול בבעיות נפשיות, כאבי שרירים מסיבות שונות
דוסטינקס	DOSTINEX	CABERGOLINE	יש לפנות לסמכות רפואית	להפחתה  טיפול רמת פרולקטין גבוה
דופיקסנט	DUPIXENT	DUPILUMAB	מותר להתרים אם אין פצעים פתוחים	טיפול באטופיק דרמטיטיס קשה
דופיקר	DOPICAR	CARBIDOPA, LEVODOPA	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
דופלקס	DUPLEX	AMLODIPINE, VALSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
דופסטון	DUPHASTON	DYDROGESTERONE	מותר להתרים	טיפול הורמונלי
דוקסי	DOXY	DOXYCYCLINE	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
דוקסילין	DOXYLIN	DOXYCYCLINE	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
דטרוסיטול	DETRUSITOL	TOLTERODINE	מותר להתרים	טיפול בבריחת שתן
דיאמילה	DIAMILLA	DESOGESTREL	מותר להתרים	גלולות למניעת הריון
דיאנה	DIANE	CYPROTERONE, ETHINYLESTRADIOL	מותר להתרים בהתאם להנחיות רפואיות לאקנה	טיפול הורמונלי לאקנה
דיאסרין	DIACEREIN	DIACEREIN	מותר להתרים	טיפול באוסטיאוארטריטיס
דיאתרים	DIATRIM	DIACEREIN	מותר להתרים	טיפול באוסטיאוארטריטיס
דיבנילין	DIBENYLINE	PHENOXYBENZAMINE	אסור להתרים	טיפול בפאוכרומוציטומה
דיבנילין	DIBENYLINE	PHENOXYBENZAMINE	מותר להתרים	טיפול בהגדלת הפרוסטטה שפירה
דיגוקסין	DIGOXIN	DIGOXIN	אסור להתרים	טיפול בבעיות לב
דיובאן	DIOVAN	VALSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
דיובאן	DIOVAN	VALSARTAN	אסור להתרים	טיפול בבעיות לב
דיזותיאזיד	DISOTHIAZIDE	HYDROCHLOROTHIAZIDE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
דילאטם	DILATAM	DILTIAZEM	אסור להתרים	טיפול בבעיות לב
דילאטם	DILATAM	DILTIAZEM	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
דילטיאזם	DILTIAZEM	DILTIAZEM	אסור להתרים	טיפול בבעיות לב
דילנטין	DILANTIN	PHENYTOIN	אסור להתרים	נגד התקווצויות
דיספטיל	DISEPTYL	SULPHAMETHOXAZOLE TRIMETHOPRIM	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	טיפול אנטיבקטריאלי
דיפרוספאן	DIPROSPAN	BETAMETHASONE	אסור להתרים במהלך הטיפול,לתרומות עתידיות לפנות לסמכות רפואית	טיפול במחלות אוטואימוניות, התקפי אסטמה/ אלרגיה
דלירספ	DALIRESP	ROFLUMILAST	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	לטיפול ב COPD קשה
דנול	DANOL	DANAZOL	מותר להתרים בהתאם למחלה/ מצב רפואי	טיפול באנדומטריוזיס, שחלות פוליציסטיות, אניגיודמה ועוד
דנלון	DANALONE	PREDNISOLONE	אסור להתרים	טיפול במחלות אוטואימוניות, בעיות אנדוקריניות, ממאירות
דס-לורטדים	DES-LORATADIM	DESLORATADINE	מותר להתרים	נגד אלרגיה
דסלורטדין	DESLORATADINE	DESLORATADINE	מותר להתרים	נגד אלרגיה
דסמופרסין	DESMOPRESSIN	DESMOPRESSIN	אסור להתרים	טיפול בסכרת תפלה
דסמופרסין	DESMOPRESSIN	DESMOPRESSIN	מותר להתרים	טיפול בהרתבת לילה
דפלפט	DEPALEPT	SODIUM VALPROATE	אסור להתרים	טיפול באפילפסיה
דפלפט	DEPALEPT	SODIUM VALPROATE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
דפרקסן	DEPREXAN	DESIPRAMINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
דקינט	DEKINET	BIPERIDEN	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
דקסילנט	DEXILANT	DEXLANSOPRAZOLE	מותר להתרים	טיפול במחלת ריפלוקס קיבתי-ושתי
דקסימון	DEXIMUNE	CICLOSPORIN	אסור להתרים	מדכא מערכת החיסונית
דקסמול	DEXAMOL	PARACETAMOL	מותר להתרים	נגד כאבים
דקסמול	DEXAMOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
דקסמטזון	DEXAMETHASONE	DEXAMETHASONE	אסור להתרים במהלך הטיפול,לתרומות עתידיות לפנות לסמכות רפואית	טיפול במחלות אוטואימוניות, התקפי אסטמה/ אלרגיה
דרלין	DERALIN	PROPRANOLOL	מותר להתרים אם לחץ הדם מאוזן ודופק מעל 70 לדקה	טיפול ביתר לחץ דם
דרלין	DERALIN	PROPRANOLOL	לפנות לסמכות רפואית	טיפול בבעיות לב/ קצב לב מהיר בפעילות יתר של בלותת התריס
דרלין	DERALIN	PROPRANOLOL	מותר להתרים בהתאם למחלה/ מצב רפואי. יש לבדוק דופק	טיפול בתנועות בלתי רצוניות/ רעד
דרלין	DERALIN	PROPRANOLOL	מותר להתרים. יש לבדוק דופק	למניעת התקפי מיגרנה
הומולין	HUMULIN	INSULIN	אסור להתרים	טיפול בסכרת
הומלוג	HUMALOG	INSULIN	אסור להתרים	טיפול בסכרת
הידרוקורטיזון	HYDROCORTISONE	HYDROCORTISONE	אסור להתרים במהלך הטיפול,לתרומות עתידיות לפנות לסמכות רפואית	טיפול במחלות אוטואימוניות, התקפי אסטמה/ אלרגיה
היטרין	HYTRIN	TERAZOSIN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
היטרין	HYTRIN	TERAZOSIN	מותר להתרים	טיפול בהגדלת פרוסטטה שפירה
היסטדקס	HISTADEX	PSEUDOEPHEDRINE, DEXCHLORPHENIRAMINE	מותר להתרים	טיפול באלרגיה
היסטזין	HISTAZINE	CETIRIZINE	מותר להתרים	טיפול באלרגיה
היסטפד	HISTAFED	PSEUDOEPHEDRINE, TRIPROLIDINE	מותר להתרים	טיפול באלרגיה/נזלת
היסטפד סירופ	HISTAFED SYRUP	PSEUDOEPHEDRINE, TRIPROLIDINE, CODEINE/GUAIFENESINE	מותר להתרים לאחר החלמה	נגד שיעול, נזלת וגודש בדרכי הנשימה העליונות
היסינגלה	HYSINGLA	HYDROCODONE	אסור להתרים	טיפול בכאבים חזקים מאוד
היפנודורם	HYPNODORM	FLUNITRAZEPAM	מותר להתרים	טיפול בהפרעות שינה
הלדול	HALDOL	HALOPERIDOL	מותר להתרים	טיפול בתסמונת טורט
הלדול	HALDOL	HALOPERIDOL	לפנות לבירור לסמכות רפואית	טיפול בבעיות נפשיות
הלופר	HALOPER	HALOPERIDOL	מותר להתרים	טיפול בתסמונת טורט
הלופר	HALOPER	HALOPERIDOL	לפנות לבירור לסמכות רפואית	טיפול בבעיות נפשיות
הקסקפרון	HEXAKAPRON	TRANEXAMIC ACID	מותר להתרים	טיפול בנטייה לדימום
הרמונט	HARMONET	GESTODENE, ETHINYLESTRADIOL	מותר להתרים	גלולות למניעת הריון
ואבן	VABEN	OXAZEPAM	מותר להתרים	טיפול בחרדה
ואלסרטו	VALSARTAN	VALSARTAN	מותר להתרים אם לחצ דם מאוזן	טיפול ביתר לחץ דם
וארדנאפיל	VARDENAFIL	VARDENAFIL	מותר להתרים	טיפול בהפרעה בזיקפה
ווזודיפ	VASODIP	LERCANIDIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
וולבוטרין	WELLBUTRIN	BUPROPION	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיקאון
וולטרן	VOLTAREN	DICLOFENAC	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
וולטרן	VOLTAREN	DICLOFENAC	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
ווליבריס	VOLIBRIS	AMBRISENTAN	אסור להתרים	טיפול ביתר לחץ דם בעורק ריאתי
וונלה	VENLA	VENLAFAXINE	מותר להתרים	טיפול בדיכאון
וזודיפ קומבו	VASODIP COMBO	ENALAPRIL, LERCANIDIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
ויאגרה	VIAGRA	SILDENAFIL	מותר להתרים 12 שעות לאחר הטיפול	טיפול בבעיות זקפה
ויה-אבניר	VIA-AVENIR	SILDENAFIL	מותר להתרים 12 שעות לאחר הטיפול	טיפול בבעיות זקפה
ויואנס	VYVANSE	LISDEXAMFETAMINE	מותר להתרים	טיפול בהפרעות קשב ופעלתנות יתר (ADHD)
ויזאבל	VISABELLE	DIENOGEST	מותר להתרים	טיפול באנדומטריוזיס
וימפט	VIMPAT	LACOSAMIDE	אסור להתרים	טיפול באפילפסיה
ויפאקס	VIEPAX	VENLAFAXINE	מותר להתרים	טיפול בדיכאון
ויפריב	VPRIV	VELAGLUCERASE ALFA	אסור להתרים	טיפול במחלת גושה
ויקטוזה	VICTOZA	LIRAGLUTIDE	מותר להתרים 24 שעות לאחר הזריקה	טיפול בסכרת
ולטרקס	VALTREX	VALCICLOVIR	מותר להתרים	טיפול מניעתי נגד הרפס
ולטרקס	VALTREX	VALCICLOVIR	מותר להתרים  לאחר החלמה (ראה הנחיות)	טיפול בהרפס
ולפורל	VALPORAL	VALPROIC ACID	אסור להתרים	טיפול באפילפסיה
ולציקלוביר	VALACICLOVIR	VALACICLOVIR	מותר להתרים  לאחר החלמה (ראה הנחיות)	טיפול  בהרפס
ונורוטון	VENORUTON	MONOXERUTIN	מותר להתרים	טיפול בדליות ברגליים
ונטויס	VENTAVIS	ILOPROST	אסור להתרים	לטיפול  בלחצ דם ריאתי גבוה
ונטולין	VENTOLIN	SALBUTAMOL	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה/ ברונכיטיס)	טיפול באסטמה/ ברונכיטיס כרונית
ונטולין	VENTOLIN	SALBUTAMOL	אסור להתרים	טיפול באמפיזמה
ונלפאקסין	VENLAFAXINE	VENLAFAXINE	מותר להתרים	טיפול בדיכאון
וסיקר	VESICARE	SOLIFENACIN	מותר להתרים אם אין עדות/חשד לדלקת	טיפול בשלפוחית שתן רגיזה
וקטור	VECTOR	VALSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
וקטור	VECTOR	VALSARTAN	אסור להתרים	טיפול בבעיות לב
ורמוקס	VERMOX	MEBENDAZOLE	מותר להתרים שבוע לאחר החלמה	טיפול בתולעים
ורפרס	VERAPRESS	VERAPAMIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
ורפרס	VERAPRESS	VERAPAMIL	אסור להתרים	טיפול בבעיות לב
זאלדיאר	ZALDIAR	PARACETAMOL, TRAMADOL	מותר להתרים לכאבים אורטופדיים (פריצת דיסק, כאבי גב) במידה וסיבה לא מונעת מתרומה	נגד כאבים
זאפה	ZAPPA	OLANZAPINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
זבסקה	ZAVESCA	MIGLUSTAT	אסור להתרים	טיפול במחלת גושה
זואלי	ZOELY	ESTRADIOL, NOMEGESTROL	מותר להתרים	למניעת הריון
זובירקס	ZOVIRAX	ACYCLOVIR	מותר להתרים	טיפול מניעתי נגד הרפס
זובירקס	ZOVIRAX	ACYCLOVIR	מותר להתרים  לאחר החלמה (ראה הנחיות)	טיפול בהרפס
זודורם	ZODORM	ZOLPIDEM	מותר להתרים	טיפול בהפרעות שינה
זולאייר	XOLAIR	OMALIZUMAB	כפוף לחומרת המחלה, לפנות לבירור סמכות רפואית	טיפול באסטמה אלרגית / אורטיקריה
זולטופיי	XULTOPHY	LIRAGLUTIDE, INSULIN	מותר להתרים אם סכרת מאוזנת ועברו 24 שעות לאחר הזרקה	טיפול בסכרת
זומיג	ZOMIG	ZOLMITRIPTAN	מותר להתרים 24 שעות לאחר ההתקף	טיפול בהתקפי מיגרנה
זופיקלון	ZOPICLONE	ZOPICLONE	מותר להתרים	טיפול בהפרעות שינה
